id;path;name;x;y
0;000.jpg;Antarctica;87.82472222222222;-70.17777777777778
1;001.jpg;North of South China Sea;114.4525;16.071666666666665
2;002.jpg;Area northwest of Mount Kailash;81.22333333333333;31.219166666666666
3;003.jpg;Area of Xinjiang internment camps;77.35;39.166666666666664
4;004.jpg;Area west of Hilsa resort Nepal;81.27111111111111;30.15583333333333
5;005.jpg;Makhmour refugee camp, Iraq;43.614444444444445;35.79416666666666
6;006.jpg;Israel;35.0;31.0
7;007.jpg;Beauvechain Air Base;4.766944444444444;50.757777777777775
8;008.jpg;Military installation in Ypres;2.883888888888889;50.836666666666666
9;009.jpg;Fort Eben-Emael – near Eben-Emael;5.678888888888889;50.7975
10;010.jpg;Militaire Kazerne Brugge;3.2594444444444446;51.211111111111116
11;011.jpg;West Flanders Office – in Bruges;3.2233333333333336;51.21027777777778
12;012.jpg;Belgian Pipeline Organisation – in Leuven;4.7011111111111115;50.873333333333335
13;013.jpg;Palais de Bruxelles;4.362222222222222;50.84166666666667
14;014.jpg;Eguermin, Belgium-Netherlands Naval Mine Warfare School – in Ostend;2.9219444444444442;51.224444444444444
15;015.jpg;Electrabel Kerncentrale Doel – in Doel;4.259444444444444;51.32555555555556
16;016.jpg;Chièvres Air Base;3.8305555555555553;50.58083333333334
17;017.jpg;Kwartier Marinebasis Zeebrugge [nl];3.2055555555555557;51.336111111111116
18;018.jpg;NATO Headquarters – in Brussels;4.426388888888889;50.88027777777778
19;019.jpg;Měřičský ústav Trnovany;14.195555555555556;50.538333333333334
20;020.jpg;Merisotakoulu [fi];24.979999999999997;60.15
21;021.jpg;Hôpital d'Instruction des Armées Percy;2.2555555555555555;48.81444444444444
22;022.jpg;French Alternative Energies and Atomic Energy Commission (CEA, Grenoble center);5.705277777777778;45.200833333333335
23;023.jpg;Île Longue;-4.506666666666667;48.30638888888888
24;024.jpg;Levant Island (Île du Levant);6.466666666666667;43.03333333333333
25;025.jpg;Office of Atomic Energy (Cadarache Center);5.760555555555555;43.689722222222215
26;026.jpg;DGA Essais de missiles;-1.25;44.36194444444445
27;027.jpg;Fort de Bicêtre;164.75416666666666;48.805
28;028.jpg;Fort de Brégançon;6.322222222222222;43.09277777777778
29;029.jpg;HWU transmitter;1.2441666666666666;46.713055555555556
30;030.jpg;AREVA La Hague nuclear fuel reprocessing facility;-1.8800000000000001;49.680277777777775
31;031.jpg;Orange-Caritat Air Base;4.862222222222222;44.13916666666667
32;032.jpg;Cherbourg Naval Base;-1.6417777777777778;49.65508333333333
33;033.jpg;Vauban Fortifications of Saint-Martin-de-Ré;-1.3609166666666668;46.20225
34;034.jpg;Vélizy – Villacoublay Air Base;2.216111111111111;48.7725
35;035.jpg;Toulon arsenal;5.901944444444445;43.11694444444444
36;036.jpg;Istres-Le Tubé Air Base;4.941666666666667;43.52444444444444
37;037.jpg;Moronvilliers;4.324166666666667;49.24111111111111
38;038.jpg;Prison of Riom;3.1503055555555552;45.890388888888886
39;039.jpg;Centre pénitentiaire de Saint-Quentin-Fallavier;5.12625;45.65880555555555
40;040.jpg;Baumettes Prison;5.414583333333334;43.23319444444444
41;041.jpg;Frenchelon;1.2380555555555557;44.78638888888889
42;042.jpg;Détachement du 8e régiment de transmissions - Vernon;1.5076944444444444;49.09455555555556
43;043.jpg;Cattenom Nuclear Power Plant;6.218055555555556;49.41583333333333
44;044.jpg;Tours military airbase 705;0.7233333333333334;47.43222222222222
45;045.jpg;Brest Arsenal;-4.5129166666666665;48.37352777777778
46;046.jpg;Marcoule Nuclear Site;4.709444444444444;44.14333333333333
47;047.jpg;Interpol Headquarters;4.84762;45.782372
48;048.jpg;Ingolstadt Manching Airport;11.533888888888889;48.71555555555556
49;049.jpg;Andravida Air Base;21.290916666666668;37.92527777777777
50;050.jpg;Ayioi Anargyroi Military Base Athens;23.715833333333332;38.025277777777774
51;051.jpg;Kos International Airport;27.089944444444445;36.80162222222222
52;052.jpg;Unknown area near Emporio, Santorini.;25.452444444444442;36.36866666666667
53;053.jpg;Unknown area near Faliraki, Rhodos.;28.20722222222222;36.32497222222223
54;054.jpg;Kalymnos Island National Airport;26.941583333333334;36.96416666666667
55;055.jpg;Kephalonia International Airport;20.500916666666665;38.11944444444445
56;056.jpg;Lakki;26.85163888888889;37.13011111111111
57;057.jpg;Leros;26.85163888888889;37.14966666666667
58;058.jpg;Lipsi;26.76486111111111;37.28905555555556
59;059.jpg;Port of Mandraki;27.136642833333333;36.613233
60;060.jpg;Moria refugee camp;26.503611111111113;39.13444444444444
61;061.jpg;Thessaloniki Airport Makedonia;22.974444444444444;40.52055555555555
62;062.jpg;Military Engineering School of Loutraki;22.96723611111111;37.949752777777775
63;063.jpg;House of Viktor Orbán;18.586830555555554;47.46315833333334
64;064.jpg;Former House of Mandemakers;5.011299166666666;51.661748333333335
65;065.jpg;Polish Military Hydrometeorological Command Centre (Szefostwo Służby Hydrometeorologicznej SZ RP);21.034444444444446;52.12722222222222
66;066.jpg;Dowództwo Wojsk Specjalnych;19.903888888888886;50.036944444444444
67;067.jpg;6 SIGINT center of military navy (6 Oliwski Ośrodek Radioelektroniczny Marynarki Wojennej);18.551944444444445;54.55472222222222
68;068.jpg;EMFA - Radar nº3 Serra Montejunto;-9.0525;39.174166666666665
69;069.jpg;Ministério da Defesa;-9.206666666666665;38.70416666666667
70;070.jpg;Cernavodă Nuclear Power Plant;28.057222222222222;44.3175
71;071.jpg;Escuadrón de Vigilancia Aérea nº2 (EVA 2);-3.3033333333333332;39.8875
72;072.jpg;Getafe Air Base;-3.725;40.295833333333334
73;073.jpg;Regimiento Estratégico de Transmisiones número 22 (RETES22) "Strategic Signals Regiment number 22"[12][13];-3.7333333333333334;40.46527777777778
74;074.jpg;Mando de Transmisiones del Ejército "Army Command Signals"[13][14];-3.7877777777777775;40.40694444444444
75;075.jpg;"Patio de los Naranjos" (lit. Orange Tree Yard);-2.4722222222222223;36.83888888888889
76;076.jpg;Base Militar Punta Camorro[15];-5.584722222222222;36.01444444444444
77;077.jpg;Pení aerial military base;3.235;42.28138888888889
78;078.jpg;Naval Station Rota;-6.329722222222222;36.65416666666667
79;079.jpg;Zaragoza Air Base;-2.4722222222222223;36.83888888888889
80;080.jpg;Heliport[17] in El Ejido;-2.718611111111111;36.74722222222222
81;081.jpg;Fortaleza de Isabel II, Menorca;4.317777777777778;39.87555555555556
82;082.jpg;Polvorin de Santa Magdalena, Mallorca;2.9498333333333338;39.727111111111114
83;083.jpg;Säkerhetspolisen - Huvudsta, in Stockholm;18.011388888888888;59.35277777777778
84;084.jpg;National Defence Radio Establishment – West of Stockholm near Drottningholm;17.855555555555558;59.331944444444446
85;085.jpg;Svenska Rymdaktiebolaget Esrange Space Center;21.06388888888889;67.89277777777778
86;086.jpg;Ärna Air Base;17.58861111111111;59.89722222222222
87;087.jpg;Western Campeche Bank;-92.22323333333334;20.711591666666667
88;088.jpg;Number One Observatory Circle, official residence of the Vice President of the United States;-77.06694444444445;38.92128888888889
89;089.jpg;2207 Seymour Avenue, Cleveland, Ohio;-81.697912;41.47254
90;090.jpg;Auburn Correctional Facility (maximum security prison), Auburn, New York;-76.57434444444443;42.9347
91;091.jpg;Amchitka Island, Alaska;-179.0402222222222;51.49358333333333
92;092.jpg;5561 NE Ambleside Rd Seattle, WA 98105 Residence of Seattle Mayor Jenny Durkan;-122.26672777777777;47.666038888888885
93;093.jpg;The Wattersons' house from The Amazing World of Gumball 1026 York Street, Vallejo, California;-122.24580555555556;38.10016666666667
94;094.jpg;1554 Walnut Avenue, Antioch, California;-121.77055555555556;38.00866666666667
95;095.jpg;112 Ocean Avenue, Amityville, New York;-73.41486;40.66656
96;096.jpg;South Sandwich Islands;-26.5;-58.0
97;097.jpg;Curitiba;-49.266666666666666;-25.433333333333334
